84 3
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 
61 67 2 72 73 4 55 77 6 7 8 80 81 10 1 12 68 83 14 15 16 17 18 84 20 3 22 5 24 78 25 26 27 28 29 30 32 9 34 11 36 13 37 38 39 40 41 42 44 19 46 21 48 23 49 50 51 52 53 54 56 31 58 33 60 35 62 63 64 65 66 43 69 45 71 47 74 75 76 57 79 59 82 70 
62 43 72 49 74 55 56 57 7 61 80 63 82 1 67 68 69 70 15 2 17 73 84 75 3 4 5 77 78 79 26 6 28 8 30 81 9 10 11 12 13 83 38 14 40 16 42 18 19 20 21 22 23 24 50 25 52 27 54 29 31 32 33 34 35 36 37 64 39 66 41 44 45 46 47 48 51 76 53 58 59 60 65 71 
63 79 73 74 75 83 70 56 8 80 81 82 49 24 78 67 43 69 16 17 18 84 61 62 36 13 4 55 77 57 27 28 29 30 2 72 48 23 10 1 12 68 39 40 41 42 6 7 60 35 20 3 22 5 51 52 53 54 14 15 71 47 32 9 34 11 64 65 66 25 26 59 44 19 46 21 76 37 38 31 58 33 50 45 
64 59 74 51 76 70 71 31 80 63 82 65 50 78 79 43 44 45 17 73 84 75 62 37 13 83 55 56 57 58 28 8 30 81 72 49 23 24 1 67 68 69 40 16 42 18 7 61 35 36 3 4 5 77 52 27 54 29 15 2 47 48 9 10 11 12 39 66 41 26 6 60 19 20 21 22 53 38 14 32 33 34 25 46 
65 58 75 76 37 69 45 71 81 82 49 50 51 77 57 79 59 44 18 84 61 62 63 64 12 68 83 70 56 31 29 30 2 72 73 74 22 5 24 78 67 43 41 42 6 7 8 80 34 11 36 13 4 55 53 54 14 15 16 17 46 21 48 23 10 1 66 25 26 27 28 33 60 35 20 3 38 39 40 47 32 9 52 19 
66 33 76 53 38 45 46 47 82 65 50 25 52 57 58 59 60 19 84 75 62 37 64 39 68 69 70 71 31 32 30 81 72 49 74 51 5 77 78 79 43 44 42 18 7 61 80 63 11 12 13 83 55 56 54 29 15 2 17 73 21 22 23 24 1 67 41 26 6 28 8 34 35 36 3 4 14 40 16 48 9 10 27 20 
67 72 4 55 77 7 61 80 10 1 12 68 83 15 2 17 73 84 20 3 22 5 24 78 26 6 28 8 30 81 32 9 34 11 36 13 38 14 40 16 42 18 44 19 46 21 48 23 50 25 52 27 54 29 56 31 58 33 60 35 62 37 64 39 66 41 43 69 45 71 47 49 74 51 76 53 57 79 59 63 82 65 70 75 
68 81 5 77 78 18 84 61 11 12 13 83 55 29 30 2 72 73 21 22 23 24 1 67 41 42 6 7 8 80 33 34 35 36 3 4 53 54 14 15 16 17 45 46 47 48 9 10 65 66 25 26 27 28 57 58 59 60 19 20 75 76 37 38 39 40 69 70 71 31 32 82 49 50 51 52 79 43 44 62 63 64 56 74 
69 82 77 57 79 84 75 62 12 68 83 70 56 30 81 72 49 74 22 5 24 78 67 43 42 18 7 61 80 63 34 11 36 13 4 55 54 29 15 2 17 73 46 21 48 23 10 1 66 41 26 6 28 8 58 33 60 35 20 3 76 53 38 14 40 16 45 71 47 32 9 65 50 25 52 27 59 44 19 37 64 39 31 51 
70 63 78 79 43 73 74 75 13 83 55 56 57 8 80 81 82 49 23 24 1 67 68 69 16 17 18 84 61 62 35 36 3 4 5 77 27 28 29 30 2 72 47 48 9 10 11 12 39 40 41 42 6 7 59 60 19 20 21 22 51 52 53 54 14 15 71 31 32 33 34 64 65 66 25 26 44 45 46 76 37 38 58 50 
