88 11
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 
61 49 55 54 69 43 42 57 48 63 62 77 36 51 50 65 56 71 70 84 44 59 58 73 64 79 78 88 52 67 66 81 72 86 85 13 60 75 74 87 80 7 6 21 68 83 82 9 2 15 14 29 76 4 3 17 8 23 22 37 1 11 10 25 16 31 30 45 5 19 18 33 24 39 38 53 12 27 26 41 32 47 46 20 35 34 40 28 
62 34 56 69 70 28 41 42 63 64 77 78 35 36 49 50 71 72 84 85 43 44 57 58 79 80 88 6 51 52 65 66 86 2 13 14 59 60 73 74 7 8 21 22 67 68 81 82 15 16 29 30 75 76 87 3 23 24 37 38 83 1 9 10 31 32 45 46 4 5 17 18 39 40 53 54 11 12 25 26 47 48 61 19 20 33 55 27 
63 35 69 56 71 41 28 43 62 77 64 79 34 49 36 51 70 84 72 86 42 57 44 59 78 88 80 7 50 65 52 67 85 13 2 15 58 73 60 75 6 21 8 23 66 81 68 83 14 29 16 31 74 87 76 4 22 37 24 39 82 9 1 11 30 45 32 47 3 17 5 19 38 53 40 55 10 25 12 27 46 61 48 18 33 20 54 26 
64 20 70 71 72 26 27 28 77 78 79 80 33 34 35 36 84 85 86 2 41 42 43 44 88 6 7 8 49 50 51 52 13 14 15 16 57 58 59 60 21 22 23 24 65 66 67 68 29 30 31 32 73 74 75 76 37 38 39 40 81 82 83 1 45 46 47 48 87 3 4 5 53 54 55 56 9 10 11 12 61 62 63 17 18 19 69 25 
65 45 59 58 73 39 38 53 52 67 66 81 32 47 46 61 60 75 74 87 40 55 54 69 68 83 82 9 48 63 62 77 76 4 3 17 56 71 70 84 1 11 10 25 64 79 78 88 5 19 18 33 72 86 85 13 12 27 26 41 80 7 6 21 20 35 34 49 2 15 14 29 28 43 42 57 8 23 22 37 36 51 50 16 31 30 44 24 
66 30 60 73 74 24 37 38 67 68 81 82 31 32 45 46 75 76 87 3 39 40 53 54 83 1 9 10 47 48 61 62 4 5 17 18 55 56 69 70 11 12 25 26 63 64 77 78 19 20 33 34 71 72 84 85 27 28 41 42 79 80 88 6 35 36 49 50 86 2 13 14 43 44 57 58 7 8 21 22 51 52 65 15 16 29 59 23 
67 31 73 60 75 37 24 39 66 81 68 83 30 45 32 47 74 87 76 4 38 53 40 55 82 9 1 11 46 61 48 63 3 17 5 19 54 69 56 71 10 25 12 27 62 77 64 79 18 33 20 35 70 84 72 86 26 41 28 43 78 88 80 7 34 49 36 51 85 13 2 15 42 57 44 59 6 21 8 23 50 65 52 14 29 16 58 22 
68 16 74 75 76 22 23 24 81 82 83 1 29 30 31 32 87 3 4 5 37 38 39 40 9 10 11 12 45 46 47 48 17 18 19 20 53 54 55 56 25 26 27 28 61 62 63 64 33 34 35 36 69 70 71 72 41 42 43 44 77 78 79 80 49 50 51 52 84 85 86 2 57 58 59 60 88 6 7 8 65 66 67 13 14 15 73 21 
69 41 63 62 77 35 34 49 56 71 70 84 28 43 42 57 64 79 78 88 36 51 50 65 72 86 85 13 44 59 58 73 80 7 6 21 52 67 66 81 2 15 14 29 60 75 74 87 8 23 22 37 68 83 82 9 16 31 30 45 76 4 3 17 24 39 38 53 1 11 10 25 32 47 46 61 5 19 18 33 40 55 54 12 27 26 48 20 
70 26 64 77 78 20 33 34 71 72 84 85 27 28 41 42 79 80 88 6 35 36 49 50 86 2 13 14 43 44 57 58 7 8 21 22 51 52 65 66 15 16 29 30 59 60 73 74 23 24 37 38 67 68 81 82 31 32 45 46 75 76 87 3 39 40 53 54 83 1 9 10 47 48 61 62 4 5 17 18 55 56 69 11 12 25 63 19 
71 27 77 64 79 33 20 35 70 84 72 86 26 41 28 43 78 88 80 7 34 49 36 51 85 13 2 15 42 57 44 59 6 21 8 23 50 65 52 67 14 29 16 31 58 73 60 75 22 37 24 39 66 81 68 83 30 45 32 47 74 87 76 4 38 53 40 55 82 9 1 11 46 61 48 63 3 17 5 19 54 69 56 10 25 12 62 18 
72 12 78 79 80 18 19 20 84 85 86 2 25 26 27 28 88 6 7 8 33 34 35 36 13 14 15 16 41 42 43 44 21 22 23 24 49 50 51 52 29 30 31 32 57 58 59 60 37 38 39 40 65 66 67 68 45 46 47 48 73 74 75 76 53 54 55 56 81 82 83 1 61 62 63 64 87 3 4 5 69 70 71 9 10 11 77 17 
73 37 67 66 81 31 30 45 60 75 74 87 24 39 38 53 68 83 82 9 32 47 46 61 76 4 3 17 40 55 54 69 1 11 10 25 48 63 62 77 5 19 18 33 56 71 70 84 12 27 26 41 64 79 78 88 20 35 34 49 72 86 85 13 28 43 42 57 80 7 6 21 36 51 50 65 2 15 14 29 44 59 58 8 23 22 52 16 
